ibge;anomes;cadunico_tot_fam;cadunico_tot_pes;cadunico_tot_fam_rpc_ate_meio_sm;cadunico_tot_pes_rpc_ate_meio_sm;cadunico_tot_fam_pob;cadunico_tot_pes_pob;cadunico_tot_fam_ext_pob;cadunico_tot_pes_ext_pob;cadunico_tot_fam_pob_e_ext_pob;cadunico_tot_pes_pob_e_ext_pob
280700;201801;1069;2918;942;2711;27;96;723;2049;750;2145
280710;201801;13770;32761;11983;30694;566;1010;10463;27613;11029;28623
280720;201801;2546;6031;2190;5613;148;405;1492;4084;1640;4489
280730;201801;1098;2800;991;2647;67;218;778;2037;845;2255
280740;201801;13547;35054;11586;32015;1235;3405;7624;21078;8859;24483
280750;201801;3441;10116;3122;9556;201;737;2251;6788;2452;7525
280760;201801;5819;16887;5191;15897;674;2101;3305;10411;3979;12512
290010;201801;3008;6559;2116;5180;15;56;1745;4065;1760;4121
290020;201801;4907;14361;4659;14023;258;666;4051;12326;4309;12992
290030;201801;3735;9963;3256;9393;201;565;2725;7875;2926;8440
290035;201801;5109;11754;4131;10476;258;564;3277;8580;3535;9144
290040;201801;4394;10827;3683;10008;169;509;2886;8020;3055;8529
290050;201801;2222;7229;1920;6660;141;573;1334;4583;1475;5156
290060;201801;1322;3333;1024;2878;107;380;695;1866;802;2246
290070;201801;33544;80686;28938;74780;3413;9006;18419;48532;21832;57538
290080;201801;5683;16794;4790;15529;645;2151;3106;10265;3751;12416
290090;201801;2305;4423;1737;3827;50;101;1590;3515;1640;3616
290100;201801;9143;25322;7812;23292;1049;3009;4807;14739;5856;17748
290110;201801;4961;13985;4590;13336;514;1574;3118;8967;3632;10541
290115;201801;4389;12780;3868;12082;192;669;3160;9930;3352;10599
290120;201801;6910;17195;5658;15679;164;584;4802;13099;4966;13683
290130;201801;4584;11635;3693;10532;128;542;2956;8233;3084;8775
290135;201801;4504;10803;3704;9544;250;719;2758;6903;3008;7622
290140;201801;4522;12819;3752;11828;146;536;3250;10259;3396;10795
290150;201801;2252;6511;2118;6305;196;608;1594;4641;1790;5249
290160;201801;3209;7898;2981;7618;374;780;2284;5981;2658;6761
290170;201801;2732;8152;2525;7893;83;347;2256;6989;2339;7336
290180;201801;2911;8172;2428;7403;111;401;1896;5733;2007;6134
290190;201801;3958;12267;3620;11797;193;849;2866;9178;3059;10027
290195;201801;2323;6090;1884;5414;59;269;1520;4293;1579;4562
290200;201801;3970;11621;3408;10749;217;705;2665;8398;2882;9103
